indiv,geography,seqtot,distance,NS1NS2,site_mission
M82,symp,R.pumilio.nord,25.495097568,A_novb11/B_novb11,SAN_1_4_5_1G_8_novb11
M81,symp,R.d.dilectus,10.7703296143,R_novb11/S_novb11,SAN_1_4_5_1G_8_novb11
M800,allo,R.pumilio.nord,38.6005181312,TDR2B_NS1_novb13/TDR2B_NS20_novb13,TDR2B_novb13
M800,allo,R.pumilio.nord,25.5538646784,TDR2B_NS1_novb13/TDR2B_NS7_novb13,TDR2B_novb13
M800,allo,R.pumilio.nord,15.1327459504,TDR2B_NS20_novb13/TDR2B_NS7_novb13,TDR2B_novb13
M799,allo,R.pumilio.nord,20.0249843945,TDR2B_NS14_novb13/TDR2B_NS12_novb13,TDR2B_novb13
M798,allo,R.pumilio.nord,98.488578018,TDR2B_NS11_novb13/TDR2B_NS17_novb13,TDR2B_novb13
M798,allo,R.pumilio.nord,96.0052081921,TDR2B_NS11_novb13/TDR2B_NS13_novb13,TDR2B_novb13
M798,allo,R.pumilio.nord,103.585713301,TDR2B_NS11_novb13/TDR2B_NS19_novb13,TDR2B_novb13
M798,allo,R.pumilio.nord,12.3693168769,TDR2B_NS17_novb13/TDR2B_NS13_novb13,TDR2B_novb13
M798,allo,R.pumilio.nord,29.1547594742,TDR2B_NS17_novb13/TDR2B_NS19_novb13,TDR2B_novb13
M798,allo,R.pumilio.nord,17.691806013,TDR2B_NS13_novb13/TDR2B_NS19_novb13,TDR2B_novb13
M796,allo,R.pumilio.nord,28.0178514522,TDR2B_NS7_novb13/TDR2B_NS16_novb13,TDR2B_novb13
M796,allo,R.pumilio.nord,86.8331733844,TDR2B_NS7_novb13/TDR2B_NS18_novb13,TDR2B_novb13
M796,allo,R.pumilio.nord,66.4003012041,TDR2B_NS16_novb13/TDR2B_NS18_novb13,TDR2B_novb13
M791,allo,R.pumilio.nord,NA,NA,TDR2B_novb13
M785,allo,R.pumilio.nord,13.9283882772,TDR6_NS9_novb13/TDR6_NS7_novb13,TDR6_novb13
M769,allo,R.pumilio.nord,20.8806130178,TDR2B_NS4_novb13/TDR2B_NS6_novb13,TDR2B_novb13
M768,allo,R.pumilio.nord,8.24621125124,TDR2B_NS9_novb13/TDR2B_NS3_novb13,TDR2B_novb13
M7,symp,R.d.dilectus,12.0415945788,AQ_novb11/CD_novb11,SAN_1_4_5_1G_8_novb11
M7,symp,R.d.dilectus,24.7588368063,AQ_novb11/AO_novb11,SAN_1_4_5_1G_8_novb11
M7,symp,R.d.dilectus,28.3019433962,AQ_novb11/CE_novb11,SAN_1_4_5_1G_8_novb11
M7,symp,R.d.dilectus,37.6430604494,AQ_novb11/AR_novb11,SAN_1_4_5_1G_8_novb11
M7,symp,R.d.dilectus,18.973665961,CD_novb11/AO_novb11,SAN_1_4_5_1G_8_novb11
M7,symp,R.d.dilectus,18.4390889146,CD_novb11/CE_novb11,SAN_1_4_5_1G_8_novb11
M7,symp,R.d.dilectus,26,CD_novb11/AR_novb11,SAN_1_4_5_1G_8_novb11
M7,symp,R.d.dilectus,32.5576411922,AO_novb11/CE_novb11,SAN_1_4_5_1G_8_novb11
M7,symp,R.d.dilectus,33.2866339542,AO_novb11/AR_novb11,SAN_1_4_5_1G_8_novb11
M7,symp,R.d.dilectus,12.6491106407,CE_novb11/AR_novb11,SAN_1_4_5_1G_8_novb11
M63,symp,R.d.dilectus,18.4390889146,U_novb11/V_novb11,SAN_1_4_5_1G_8_novb11
M63,symp,R.d.dilectus,26.5706605112,U_novb11/T_novb11,SAN_1_4_5_1G_8_novb11
M63,symp,R.d.dilectus,26.4196896272,V_novb11/T_novb11,SAN_1_4_5_1G_8_novb11
M606,allo,R.d.dilectus,94.0319094776,BL4_NS10N_novb12/BL4_NS8C_novb12,BL4_novb12
M604,allo,R.d.dilectus,18.0277563773,BL4_NS4N_novb12/BL4_NS1N_novb12,BL4_novb12
M604,allo,R.d.dilectus,28.231188427,BL4_NS4N_novb12/BL4_NS7N_novb12,BL4_novb12
M604,allo,R.d.dilectus,12.8062484749,BL4_NS1N_novb12/BL4_NS7N_novb12,BL4_novb12
M601,allo,R.d.dilectus,4.472135955,BL3_NS30_novb12/BL3_NS28_novb12,BL3_novb12
M601,allo,R.d.dilectus,13.6014705087,BL3_NS30_novb12/BL3_NS37_novb12,BL3_novb12
M601,allo,R.d.dilectus,13.6014705087,BL3_NS28_novb12/BL3_NS37_novb12,BL3_novb12
M600,allo,R.d.dilectus,5.83095189485,BL3_NST13_novb12/BL3_NS17_novb12,BL3_novb12
M600,allo,R.d.dilectus,8.24621125124,BL3_NST13_novb12/BL3_NS31_novb12,BL3_novb12
M600,allo,R.d.dilectus,5.83095189485,BL3_NS17_novb12/BL3_NS31_novb12,BL3_novb12
M594,allo,R.d.dilectus,7.21110255093,BL3_NS18_novb12/BL3_NS24_novb12,BL3_novb12
