indiv;date;date_mission;site_mission;seqtot;sexe;NS_name_mission;geography;x;y;nuit
M82;09/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;A_novb11;symp;372352;6937995;10
M82;15/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;A_novb11;symp;372352;6937995;10
M82;06/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;B_novb11;symp;372333;6938012;10
M82;07/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;B_novb11;symp;372333;6938012;10
M82;08/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;B_novb11;symp;372333;6938012;10
M82;10/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;B_novb11;symp;372333;6938012;10
M82;11/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;B_novb11;symp;372333;6938012;10
M82;12/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;B_novb11;symp;372333;6938012;10
M82;13/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;B_novb11;symp;372333;6938012;10
M82;14/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;B_novb11;symp;372333;6938012;10
M81;14/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;R_novb11;symp;372434;6937980;4
M81;15/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;R_novb11;symp;372434;6937980;4
M81;16/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;R_novb11;symp;372434;6937980;4
M81;13/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.d.dilectus;M;S_novb11;symp;372424;6937976;4
M800;24/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS1_novb13;allo;418569;6627525;8
M800;25/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS1_novb13;allo;418569;6627525;8
M800;01/12/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS1_novb13;allo;418569;6627525;8
M800;30/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS20_novb13;allo;418558;6627562;8
M800;26/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;8
M800;27/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;8
M800;28/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;8
M800;29/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;8
M8;07/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;AC_novb11;symp;372261;6937824;2
M8;08/11/2011;novb11;SAN_1_4_5_1G_8_novb11;R.pumilio.nord;M;AC_novb11;symp;372261;6937824;2
M799;25/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS14_novb13;allo;418719;6627570;7
M799;27/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS14_novb13;allo;418719;6627570;7
M799;24/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS12_novb13;allo;418718;6627550;7
M799;26/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS12_novb13;allo;418718;6627550;7
M799;28/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS12_novb13;allo;418718;6627550;7
M799;29/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS12_novb13;allo;418718;6627550;7
M798;24/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS11_novb13;allo;418527;6627539;7
M798;28/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS17_novb13;allo;418441;6627491;7
M798;25/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS13_novb13;allo;418438;6627503;7
M798;26/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS13_novb13;allo;418438;6627503;7
M798;27/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS13_novb13;allo;418438;6627503;7
M798;29/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS19_novb13;allo;418426;6627516;7
M796;21/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;10
M796;22/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;10
M796;23/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;10
M796;24/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;10
M796;25/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;10
M796;26/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;10
M796;29/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS7_novb13;allo;418556;6627547;10
M796;27/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS16_novb13;allo;418528;6627548;10
M796;28/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS18_novb13;allo;418488;6627601;10
M791;21/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;22/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;23/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;24/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;25/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;26/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;27/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;28/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;29/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M791;30/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS8_novb13;allo;418676;6627534;10
M785;24/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS9_novb13;allo;415271;6625263;6
M785;25/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS9_novb13;allo;415271;6625263;6
M785;20/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS7_novb13;allo;415258;6625258;6
M785;21/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS7_novb13;allo;415258;6625258;6
M785;22/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS7_novb13;allo;415258;6625258;6
M785;23/11/2013;novb13;TDR6_novb13;R.pumilio.nord;M;TDR6_NS7_novb13;allo;415258;6625258;6
M769;19/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS4_novb13;allo;418516;6627541;4
M769;20/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS6_novb13;allo;418496;6627535;4
M769;21/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS6_novb13;allo;418496;6627535;4
M769;22/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS6_novb13;allo;418496;6627535;4
M768;22/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS9_novb13;allo;418537;6627589;4
M768;19/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS3_novb13;allo;418535;6627581;4
M768;20/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS3_novb13;allo;418535;6627581;4
M768;21/11/2013;novb13;TDR2B_novb13;R.pumilio.nord;M;TDR2B_NS3_novb13;allo;418535;6627581;4
