site_mission seqtot geography distance
BL1_novb12 R.d.dilectus allo 21.8403296678
BL1_novb12 R.d.dilectus allo 10
BL1_novb12 R.d.dilectus allo 10.0498756211
BL1_novb12 R.d.dilectus allo 21.3775583264
BL1_novb12 R.d.dilectus allo 22.360679775
BL1_novb12 R.d.dilectus allo 1
BL1_novb12 R.d.dilectus allo 8.94427191
BL1_novb12 R.d.dilectus allo 10.6301458127
BL1_novb12 R.d.dilectus allo 9.48683298051
BL1_novb12 R.d.dilectus allo 12.5299640861
BL1_novb12 R.d.dilectus allo 3
BL1_novb12 R.d.dilectus allo 7.07106781187
BL1_novb12 R.d.dilectus allo 3.60555127546
BL1_novb12 R.d.dilectus allo 10.0498756211
BL1_novb12 R.d.dilectus allo 3.16227766017
BL1_novb12 R.d.dilectus allo 9.21954445729
BL1_novb12 R.d.dilectus allo 24.3310501212
BL1_novb12 R.d.dilectus allo 7
BL1_novb12 R.d.dilectus allo 26
BL1_novb12 R.d.dilectus allo 13
BL1_novb12 R.d.dilectus allo 24.1867732449
BL1_novb12 R.d.dilectus allo 6
BL1_novb12 R.d.dilectus allo 30.083217913
BL1_novb12 R.d.dilectus allo 24.1867732449
BL1_novb12 R.d.dilectus allo 7.07106781187
BL1_novb12 R.d.dilectus allo 29.0688837075
BL1_novb12 R.d.dilectus allo 2.2360679775
BL1_novb12 R.d.dilectus allo 10
BL1_novb12 R.d.dilectus allo 13
BL1_novb12 R.d.dilectus allo 14.3178210633
BL1_novb12 R.d.dilectus allo 10.6301458127
BL1_novb12 R.d.dilectus allo 11.401754251
BL1_novb12 R.d.dilectus allo 13.9283882772
BL1_novb12 R.d.dilectus allo 11.7046999107
BL1_novb12 R.d.dilectus allo 6.7082039325
BL1_novb12 R.d.dilectus allo 8.24621125124
BL1_novb12 R.d.dilectus allo 3
BL1_novb12 R.d.dilectus allo 11.1803398875
BL1_novb12 R.d.dilectus allo 7.21110255093
BL1_novb12 R.d.dilectus allo 12.5299640861
BL1_novb12 R.d.dilectus allo 130.698125465
BL1_novb12 R.d.dilectus allo 14.0356688476
BL1_novb12 R.d.dilectus allo 7.21110255093
BL1_novb12 R.d.dilectus allo 139.917833031
BL1_novb12 R.d.dilectus allo 11.1803398875
BL1_novb12 R.d.dilectus allo 125.89678312
BL1_novb12 R.d.dilectus allo 135.369863707
BL1_novb12 R.d.dilectus allo 10.6301458127
BL1_novb12 R.d.dilectus allo 12.5299640861
BL1_novb12 R.d.dilectus allo 31.9061122671
BL1_novb12 R.d.dilectus allo 69.1158447825
BL1_novb12 R.d.dilectus allo 3.16227766017
BL1_novb12 R.d.dilectus allo 30.61045573
BL1_novb12 R.d.dilectus allo 66.7083203206
BL1_novb12 R.d.dilectus allo 28.0178514522
BL1_novb12 R.d.dilectus allo 63.7808748764
BL1_novb12 R.d.dilectus allo 37.2155881319
BL3_novb12 R.d.dilectus allo 2.2360679775
