indiv,INNS,night,site_mission,seqtot,sexe,geography,NS1NS2,distance
F554,4,5,BL1_novb12,R.d.dilectus,F,allo,BL1_NS7_novb12/BL1_NS8_novb12,21.8403296678
F554,4,5,BL1_novb12,R.d.dilectus,F,allo,BL1_NS7_novb12/BL1_NS16_novb12,10
F554,4,5,BL1_novb12,R.d.dilectus,F,allo,BL1_NS7_novb12/BL1_NS9_novb12,10.0498756211
F554,4,5,BL1_novb12,R.d.dilectus,F,allo,BL1_NS8_novb12/BL1_NS16_novb12,21.3775583264
F554,4,5,BL1_novb12,R.d.dilectus,F,allo,BL1_NS8_novb12/BL1_NS9_novb12,22.360679775
F554,4,5,BL1_novb12,R.d.dilectus,F,allo,BL1_NS16_novb12/BL1_NS9_novb12,1
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS1_novb12/BL1_NS41112-3_novb12,8.94427191
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS1_novb12/BL1_NS5_novb12,10.6301458127
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS1_novb12/BL1_NS4_novb12,9.48683298051
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS1_novb12/BL1_NS13_novb12,12.5299640861
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS41112-3_novb12/BL1_NS5_novb12,3
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS41112-3_novb12/BL1_NS4_novb12,7.07106781187
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS41112-3_novb12/BL1_NS13_novb12,3.60555127546
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS5_novb12/BL1_NS4_novb12,10.0498756211
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS5_novb12/BL1_NS13_novb12,3.16227766017
F555,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS4_novb12/BL1_NS13_novb12,9.21954445729
F557,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS31112_novb12/BL1_NST6_novb12,24.3310501212
F557,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS31112_novb12/BL1_NS15_novb12,7
F557,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS31112_novb12/BL1_NS8_novb12,26
F557,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NS31112_novb12/BL1_NS41112-1_novb12,13
F557,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NST6_novb12/BL1_NS15_novb12,24.1867732449
F557,5,6,BL1_novb12,R.d.dilectus,F,allo,BL1_NST6_novb12/BL1_NS8_novb12,6
